application_id,client_id,source,branch,application_created_at,agreement_issued_at,status,agreement_id
436462,402265,WEB,Boda Prestige,14/12/2022,,Cancelled,
372371,345017,Marketing Activation,Prestige Plaza,29/07/2022,,Cancelled,
407117,375002,WEB,Prestige Plaza,14/10/2022,15/10/2022,Loan_Issued,86824
448020,411326,WEB,Boda Call Centre,05/01/2023,,Cancelled,
409460,7908,Customer Care,Boda Call Centre,19/10/2022,,Cancelled,
407133,37137,WEB,Boda Prestige,14/10/2022,,Cancelled,
409495,84418,Customer Care,Boda Call Centre,19/10/2022,,Cancelled,
394771,7361,Customer Care,Boda Call Centre,17/09/2022,,Cancelled,
395933,365042,Marketing Activation,CBD ,20/09/2022,,Cancelled,
373500,124715,Marketing Activation,Prestige Plaza,01/08/2022,,Cancelled,
455615,240415,WEB,Boda Kisii,19/01/2023,,Collect_Info_Docs,
439467,404665,WEB,Boda Call Centre,20/12/2022,,Collect_Info_Docs,
425240,128099,Customer Care,CBD ,21/11/2022,21/11/2022,Loan_Issued,90528
455545,417745,WEB,Boda Prestige,19/01/2023,,Collect_Info_Docs,
452941,61223,Customer Care,Boda Call Centre,14/01/2023,,Vehicle_Valuation,
395906,365018,Agents,Boda Outer Nairobi,20/09/2022,20/09/2022,Loan_Issued,84430
419805,387106,WEB,Boda Prestige,10/11/2022,,Cancelled,
397902,366788,Customer Care,Boda Call Centre,23/09/2022,24/09/2022,Loan_Issued,84901
397925,24206,Customer Care,Boda Call Centre,23/09/2022,,Cancelled,
389757,93354,Agents,Boda Outer Nairobi,06/09/2022,,Cancelled,
395908,365020,WEB,Boda Prestige,20/09/2022,,Cancelled,
417447,384799,WEB,Boda Prestige,05/11/2022,,Cancelled,
413473,381325,Car Branch,Thika,28/10/2022,29/10/2022,Loan_Issued,88291
407672,29416,Customer Care,Boda Call Centre,15/10/2022,,Cancelled,
400291,368726,Customer Care,Boda Call Centre,29/09/2022,,Cancelled,
377210,349074,Agents,Boda Outer Nairobi,10/08/2022,,Cancelled,
411767,379632,WEB,Boda Prestige,25/10/2022,,Cancelled,
377297,349146,Agents,Boda Outer Nairobi,10/08/2022,,Cancelled,
403775,371936,Customer Care,Boda Call Centre,06/10/2022,,Cancelled,
419926,387205,Car Branch,Thika,10/11/2022,,Cancelled,
402217,370453,Customer Care,Boda Call Centre,03/10/2022,,Cancelled,
452940,26291,WEB,Boda Call Centre,14/01/2023,,Collect_Info_Docs,
402245,131178,Customer Care,Boda Call Centre,03/10/2022,,Cancelled,
402619,370817,Customer Care,Boda Call Centre,04/10/2022,,Cancelled,
411531,375975,Customer Care,Boda Call Centre,25/10/2022,,Cancelled,
422274,389462,Customer Care,Boda Call Centre,15/11/2022,,Cancelled,
402922,369572,Customer Care,Boda Call Centre,04/10/2022,,Cancelled,
455559,417756,WEB,Boda Prestige,19/01/2023,,Collect_Info_Docs,
375401,344474,Agents,Boda Outer Nairobi,04/08/2022,04/08/2022,Loan_Issued,80968
374131,51810,Telesales,Boda Prestige,02/08/2022,,Cancelled,
400057,368560,Infobip,Boda Prestige,28/09/2022,,Cancelled,
413630,381449,Marketing Activation,CBD ,29/10/2022,,Cancelled,
404336,113399,Customer Care,Boda Call Centre,07/10/2022,,Cancelled,
407687,176036,WEB,Boda Prestige,15/10/2022,,Cancelled,
427205,394114,WEB,Boda Prestige,25/11/2022,,Cancelled,
437251,402869,WEB,Boda Prestige,15/12/2022,,Cancelled,
440828,405859,WEB,Boda Call Centre,22/12/2022,,Vehicle_Valuation,
377503,32872,Marketing Activation,CBD ,11/08/2022,,Cancelled,
411183,378944,Agents,CBD ,24/10/2022,25/10/2022,Loan_Issued,87827
427222,122813,Customer Care,Boda Call Centre,25/11/2022,,Cancelled,
452701,415438,WEB,Boda Call Centre,13/01/2023,,Collect_Info_Docs,
437261,402887,WEB,Boda Prestige,15/12/2022,,Cancelled,
398103,68998,Customer Care,Boda Call Centre,24/09/2022,,Cancelled,
436043,401752,Customer Care,Boda Call Centre,13/12/2022,,Cancelled,
452972,415642,WEB,Boda Call Centre,14/01/2023,,Collect_Info_Docs,
455526,417734,WEB,Boda Prestige,19/01/2023,,Collect_Info_Docs,
397863,366750,Customer Care,Boda Call Centre,23/09/2022,,Cancelled,
396708,365727,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
395739,112263,WEB,Boda Prestige,19/09/2022,,Cancelled,
387573,357560,Agents,Boda Outer Nairobi,01/09/2022,,Cancelled,
424312,391545,Customer Care,Boda Call Centre,18/11/2022,,Cancelled,
415197,106920,Customer Care,Boda Call Centre,01/11/2022,,Cancelled,
400461,118491,Customer Care,Boda Call Centre,29/09/2022,,Cancelled,
406155,349222,Marketing Activation,CBD ,12/10/2022,,Cancelled,
405078,108878,Customer Care,CBD ,09/10/2022,25/10/2022,Loan_Issued,87845
437687,403222,WEB,Prestige Plaza,16/12/2022,20/12/2022,Loan_Issued,93480
413744,381585,Customer Care,Boda Call Centre,29/10/2022,,Cancelled,
409955,212490,Customer Care,Boda Call Centre,21/10/2022,,Cancelled,
382609,190401,Agents,Boda Outer Nairobi,22/08/2022,,Cancelled,
402135,190246,Customer Care,Boda Call Centre,03/10/2022,,Cancelled,
411230,378999,Customer Care,Prestige Plaza,24/10/2022,02/11/2022,Loan_Issued,88602
400597,369018,Customer Care,Boda Call Centre,29/09/2022,,Cancelled,
422685,389920,Agents,CBD ,15/11/2022,19/11/2022,Loan_Issued,90460
381109,352316,Agents,Boda Outer Nairobi,19/08/2022,,Cancelled,
437225,124610,WEB,Boda Prestige,15/12/2022,,Cancelled,
403191,371353,Customer Care,Boda Call Centre,05/10/2022,,Cancelled,
412772,380642,Customer Care,Boda Call Centre,27/10/2022,,Cancelled,
409533,352316,WEB,Boda Prestige,19/10/2022,,Cancelled,
437254,402875,WEB,Boda Prestige,15/12/2022,,Cancelled,
422289,389482,WEB,Boda Prestige,15/11/2022,,Cancelled,
413943,366814,Customer Care,Boda Call Centre,30/10/2022,,Cancelled,
389883,359660,Agents,Boda Outer Nairobi,06/09/2022,,Cancelled,
400469,368899,Infobip,Boda Prestige,29/09/2022,,Cancelled,
425137,31517,WEB,Boda Prestige,21/11/2022,,Cancelled,
417751,385032,Customer Care,Boda Call Centre,06/11/2022,,Cancelled,
455598,417784,WEB,Boda Kisii,19/01/2023,,Collect_Info_Docs,
399128,367781,Customer Care,Boda Call Centre,27/09/2022,07/10/2022,Loan_Issued,86112
384182,354842,Agents,Boda Outer Nairobi,24/08/2022,25/08/2022,Loan_Issued,82266
406010,373999,Customer Care,Boda Call Centre,12/10/2022,,Cancelled,
390043,359781,Agents,Boda Outer Nairobi,07/09/2022,,Cancelled,
437208,402827,WEB,Boda Prestige,15/12/2022,,Cancelled,
429911,375992,Customer Care,Boda Call Centre,01/12/2022,,Cancelled,
407657,375600,WEB,Boda Prestige,15/10/2022,,Cancelled,
437194,402814,WEB,Boda Prestige,15/12/2022,,Cancelled,
389279,359062,Car Branch,Kitengela,05/09/2022,,Cancelled,
398651,366068,Customer Care,Boda Call Centre,26/09/2022,,Cancelled,
437021,402713,WEB,Boda Prestige,15/12/2022,,Cancelled,
408012,375905,WEB,Boda Prestige,17/10/2022,,Cancelled,
407278,375228,Customer Care,Prestige Plaza,14/10/2022,17/10/2022,Loan_Issued,86914
439308,404518,WEB,Boda Prestige,20/12/2022,,Cancelled,
446398,410163,WEB,Boda Call Centre,03/01/2023,,Collect_Info_Docs,
390079,174808,Agents,Boda Outer Nairobi,07/09/2022,,Cancelled,
396284,365403,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
437010,402704,WEB,Boda Prestige,15/12/2022,,Cancelled,
413678,381503,WEB,Boda Prestige,29/10/2022,,Cancelled,
395305,364460,Agents,Boda Prestige,19/09/2022,,Cancelled,
436999,402692,WEB,Boda Prestige,15/12/2022,,Cancelled,
395324,168090,Agents,Boda Prestige,19/09/2022,,Cancelled,
387826,357804,Agents,Boda Outer Nairobi,01/09/2022,,Cancelled,
386570,356744,Agents,Boda Outer Nairobi,30/08/2022,30/08/2022,Loan_Issued,82649
436993,402687,WEB,Boda Prestige,15/12/2022,,Cancelled,
455505,10877,WEB,Boda Prestige,19/01/2023,,Cancelled,
439536,404739,WEB,Boda Call Centre,20/12/2022,,Collect_Info_Docs,
396644,365666,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
400566,146972,Infobip,Boda Prestige,29/09/2022,,Cancelled,
390118,245754,Agents,Boda Outer Nairobi,07/09/2022,,Cancelled,
439482,47211,WEB,Boda Call Centre,20/12/2022,,Vehicle_Valuation,
432445,227359,WEB,Boda Kisii,06/12/2022,,Cancelled,
407775,50859,WEB,Boda Prestige,15/10/2022,,Cancelled,
374312,169814,Marketing Activation,Prestige Plaza,02/08/2022,,Cancelled,
444683,409040,WEB,Boda Call Centre,30/12/2022,,Collect_Info_Docs,
404086,372266,Agents,Boda Outer Nairobi,06/10/2022,07/10/2022,Loan_Issued,86093
390568,358464,Agents,Boda Outer Nairobi,08/09/2022,,Cancelled,
420099,387407,Agents,Boda Outer Nairobi,10/11/2022,,Collect_Info_Docs,
399860,368376,Customer Care,Boda Call Centre,28/09/2022,,Cancelled,
398546,367263,Customer Care,Boda Call Centre,26/09/2022,,Cancelled,
403512,162522,Customer Care,Boda Call Centre,05/10/2022,07/10/2022,Loan_Issued,86082
436624,402419,WEB,Boda Prestige,14/12/2022,,Cancelled,
402790,334939,Customer Care,Boda Call Centre,04/10/2022,07/10/2022,Loan_Issued,86085
413296,381156,WEB,Boda Prestige,28/10/2022,,Cancelled,
396475,365520,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
455613,417791,Customer Care,Boda Call Centre,19/01/2023,,Collect_Info_Docs,
415632,160008,WEB,Boda Prestige,02/11/2022,,Cancelled,
450668,413671,WEB,Boda Call Centre,10/01/2023,,Collect_Info_Docs,
409793,377592,Customer Care,Boda Call Centre,20/10/2022,,Cancelled,
407736,108536,Customer Care,Boda Call Centre,15/10/2022,,Cancelled,
400324,368749,Customer Care,Boda Prestige,29/09/2022,,Cancelled,
407641,375583,WEB,Boda Prestige,15/10/2022,,Cancelled,
400349,368775,Customer Care,Boda Call Centre,29/09/2022,,Cancelled,
439552,404756,WEB,Boda Call Centre,20/12/2022,,Collect_Info_Docs,
415448,382965,Customer Care,Boda Call Centre,02/11/2022,,Cancelled,
427490,392177,WEB,Boda Prestige,25/11/2022,,Cancelled,
397559,202664,WEB,Boda Outer Nairobi,23/09/2022,,Cancelled,
398600,366814,WEB,Boda Prestige,26/09/2022,,Cancelled,
400547,368965,Customer Care,Boda Call Centre,29/09/2022,,Cancelled,
432278,398854,WEB,Prestige Plaza,06/12/2022,06/12/2022,Loan_Issued,92033
441829,406673,WEB,Boda Call Centre,24/12/2022,,Cancelled,
392386,359062,Agents,Boda Outer Nairobi,12/09/2022,,Cancelled,
392337,111360,Agents,Boda Outer Nairobi,12/09/2022,12/09/2022,Loan_Issued,83725
388225,358146,Marketing Activation,Prestige Plaza,02/09/2022,,Cancelled,
388305,215052,Agents,Boda Outer Nairobi,02/09/2022,,Cancelled,
397823,366711,Customer Care,Boda Call Centre,23/09/2022,26/09/2022,Loan_Issued,84915
400507,325615,Agents,Boda Outer Nairobi,29/09/2022,29/09/2022,Loan_Issued,85320
404305,372453,Customer Care,Boda Call Centre,07/10/2022,,Cancelled,
397008,167238,Customer Care,Boda Call Centre,22/09/2022,,Cancelled,
396535,365565,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
427538,394446,Customer Care,Boda Call Centre,25/11/2022,,Cancelled,
396679,365702,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
388529,315324,Agents,Boda Outer Nairobi,03/09/2022,,Cancelled,
388571,358464,Agents,Boda Outer Nairobi,03/09/2022,,Cancelled,
388433,358347,Agents,Boda Outer Nairobi,02/09/2022,20/09/2022,Loan_Issued,84281
398690,367370,Customer Care,Boda Call Centre,26/09/2022,,Cancelled,
400130,368624,Customer Care,Boda Call Centre,28/09/2022,,Cancelled,
437324,139890,Customer Care,CBD ,15/12/2022,24/12/2022,Loan_Issued,94079
399933,368440,Customer Care,Boda Call Centre,28/09/2022,,Cancelled,
399886,368397,Customer Care,Boda Call Centre,28/09/2022,,Cancelled,
398649,363648,WEB,Boda Prestige,26/09/2022,,Cancelled,
427414,394316,WEB,CBD ,25/11/2022,26/11/2022,Loan_Issued,91019
407701,375650,Customer Care,Boda Call Centre,15/10/2022,,Cancelled,
407729,375678,Customer Care,Boda Call Centre,15/10/2022,,Cancelled,
397297,215372,Customer Care,Boda Call Centre,22/09/2022,,Cancelled,
420179,387512,WEB,Boda Prestige,10/11/2022,,Cancelled,
390719,360440,Agents,Boda Outer Nairobi,08/09/2022,,Cancelled,
400569,368989,Customer Care,Boda Call Centre,29/09/2022,,Cancelled,
396059,365184,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
400585,369003,Customer Care,Boda Call Centre,29/09/2022,,Cancelled,
409959,368624,Customer Care,CBD ,21/10/2022,25/10/2022,Loan_Issued,87866
409919,377671,Marketing Activation,Kitengela,21/10/2022,,Cancelled,
400591,369008,Agents,Boda Outer Nairobi,29/09/2022,,Cancelled,
396004,365128,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
395963,365075,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
439603,404808,WEB,Boda Call Centre,20/12/2022,,Collect_Info_Docs,
396734,55944,Agents,Boda Prestige,21/09/2022,,Cancelled,
394084,363450,Customer Care,Boda Call Centre,16/09/2022,,Cancelled,
390788,359660,Agents,Boda Outer Nairobi,08/09/2022,08/09/2022,Loan_Issued,83430
406208,54936,Customer Care,Boda Call Centre,12/10/2022,,Cancelled,
398719,367395,Agents,Boda Outer Nairobi,26/09/2022,26/09/2022,Loan_Issued,84947
455020,417315,WEB,Boda Prestige,18/01/2023,,Cancelled,
371458,4970,Agents,Boda Outer Nairobi,28/07/2022,,Cancelled,
406237,374226,Customer Care,Boda Call Centre,12/10/2022,12/10/2022,Loan_Issued,86589
394275,169473,Customer Care,Boda Call Centre,16/09/2022,,Cancelled,
420074,387383,WEB,Boda Call Centre,10/11/2022,,Cancelled,
420830,388135,Agents,Boda Outer Nairobi,11/11/2022,,Cancelled,
396247,145486,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
455492,417712,WEB,Boda Prestige,19/01/2023,,Collect_Info_Docs,
418566,385790,Customer Care,Boda Call Centre,08/11/2022,,Cancelled,
418186,385412,Customer Care,Boda Call Centre,07/11/2022,,Cancelled,
399980,368489,Customer Care,Boda Call Centre,28/09/2022,,Cancelled,
440779,43991,Customer Care,Boda Call Centre,22/12/2022,,Collect_Info_Docs,
395415,364557,WEB,Boda Prestige,19/09/2022,,Cancelled,
386758,356909,Agents,Boda Outer Nairobi,30/08/2022,19/09/2022,Loan_Issued,84233
395934,167238,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
396049,365176,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
396292,365409,WEB,Boda Prestige,20/09/2022,,Cancelled,
395925,365034,WEB,CBD ,20/09/2022,21/09/2022,Loan_Issued,84619
409347,377172,Customer Care,Boda Call Centre,19/10/2022,,Cancelled,
387238,357273,Agents,Boda Outer Nairobi,31/08/2022,,Cancelled,
400254,368705,Customer Care,Boda Call Centre,29/09/2022,29/09/2022,Loan_Issued,85298
398933,367615,Agents,Boda Outer Nairobi,26/09/2022,,Cancelled,
396083,365209,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
396442,365508,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
396822,365827,WEB,Boda Prestige,21/09/2022,,Cancelled,
391214,360913,Marketing Activation,Prestige Plaza,09/09/2022,,Cancelled,
417941,367534,Customer Care,Boda Call Centre,07/11/2022,,Cancelled,
390923,360664,Agents,Boda Outer Nairobi,08/09/2022,09/09/2022,Loan_Issued,83507
395971,365083,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
400653,368899,Infobip,Boda Prestige,29/09/2022,,Cancelled,
391195,360883,Agents,Boda Outer Nairobi,09/09/2022,,Cancelled,
395884,364997,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
395914,56702,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
395952,365066,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
398306,111899,Customer Care,Boda Call Centre,24/09/2022,26/09/2022,Loan_Issued,84959
396563,365510,Agents,Boda Outer Nairobi,21/09/2022,21/09/2022,Loan_Issued,84552
396108,365237,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
395920,339684,Customer Care,Boda Call Centre,20/09/2022,,Cancelled,
396516,365548,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
396825,365828,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
404213,372365,Customer Care,Boda Call Centre,07/10/2022,,Cancelled,
448490,411908,WEB,Boda Call Centre,06/01/2023,,Collect_Info_Docs,
395235,364409,Agents,Boda Prestige,19/09/2022,,Cancelled,
411765,379630,Marketing Activation,Prestige Plaza,25/10/2022,26/10/2022,Loan_Issued,87887
393151,357804,Agents,Boda Outer Nairobi,14/09/2022,14/09/2022,Loan_Issued,83844
395577,364729,WEB,Boda Prestige,19/09/2022,,Cancelled,
395589,364739,Customer Care,Boda Call Centre,19/09/2022,,Cancelled,
394023,23444,Customer Care,Boda Call Centre,16/09/2022,,Cancelled,
393949,363354,Customer Care,Boda Call Centre,16/09/2022,,Cancelled,
395422,265436,Customer Care,Boda Call Centre,19/09/2022,,Cancelled,
394392,363753,Agents,Boda Prestige,16/09/2022,,Cancelled,
394391,363754,Customer Care,Boda Call Centre,16/09/2022,,Cancelled,
395420,224763,Customer Care,Boda Call Centre,19/09/2022,,Cancelled,
403272,371453,Infobip,Boda Prestige,05/10/2022,07/10/2022,Loan_Issued,86043
396867,365869,Customer Care,Boda Prestige,21/09/2022,,Cancelled,
396848,365850,Agents,Boda Prestige,21/09/2022,,Cancelled,
415432,382954,WEB,Boda Prestige,02/11/2022,,Cancelled,
395832,364960,WEB,Boda Prestige,20/09/2022,,Cancelled,
401070,369413,Agents,Boda Outer Nairobi,30/09/2022,,Cancelled,
404486,370604,WEB,Boda Prestige,07/10/2022,,Cancelled,
397147,154225,Customer Care,Boda Call Centre,22/09/2022,,Cancelled,
408135,375997,Customer Care,Boda Call Centre,17/10/2022,,Cancelled,
404440,372579,WEB,Boda Prestige,07/10/2022,,Cancelled,
402123,370342,Customer Care,Boda Call Centre,03/10/2022,,Cancelled,
